atr_len_l,atr_len_s,atr_mult_l,atr_mult_s,roc_len_l,roc_len_s,roc_thresh_l,roc_thresh_s,sl_pct_l,sl_pct_s,2025,2025_DD,2026,2026_DD,win_rate,profit_factor,n_trades,Total,Total_L,Total_S,Total_DD
3,2,1.0,1.0,10,60,4.0,5.0,3.0,4.0,-67.22999572753906,-47.0,-31.79999542236328,-47.0999755859375,0.25,0.7508273730387499,24,-99.02999114990234,-30.42000212520361,-68.2099986076355,-47.0999755859375
2,2,1.0,1.0,10,60,5.0,4.0,4.0,3.0,-21.269994735717773,-27.5,-43.529998779296875,-32.29998779296875,0.1875,0.7548534444180334,16,-64.79999351501465,-15.800000190734863,-48.60000038146973,-32.29998779296875
2,2,0.5,0.5,10,60,5.0,5.0,4.0,3.0,-80.56000518798828,-27.5,-108.2199935913086,-41.39996337890625,0.18518518518518517,0.5507299310371763,27,-188.77999877929688,-35.899999499320984,-161.67999029159546,-41.39996337890625
2,3,1.0,1.0,10,60,5.0,4.0,3.0,3.0,-30.57001304626465,-27.5,-43.529998779296875,-32.29998779296875,0.1875,0.737342953083976,16,-74.10001182556152,-15.800000190734863,-53.20000648498535,-32.29998779296875
2,3,0.5,0.5,10,60,4.0,5.0,3.0,4.0,-45.429969787597656,-41.5999755859375,-84.02999877929688,-67.5999755859375,0.3548387096774194,0.769816568762265,31,-129.45996856689453,16.16999924182892,-118.93999576568604,-67.5999755859375
3,2,1.0,1.0,10,60,4.0,4.0,4.0,4.0,-29.690006256103516,-47.0,-31.79999542236328,-47.0999755859375,0.32,0.83986473784216,25,-61.4900016784668,-14.780002020299435,-46.309998989105225,-47.0999755859375
2,3,0.5,0.5,10,60,5.0,5.0,4.0,3.0,-1.8800163269042969,-27.5,-108.2199935913086,-41.39996337890625,0.23076923076923078,0.7154140980847569,26,-110.10000991821289,22.299999713897705,-141.1999888420105,-41.39996337890625
2,3,1.0,0.5,10,60,4.0,4.0,3.0,3.0,81.23001098632812,-27.699951171875,-108.2199935913086,-41.39996337890625,0.3103448275862069,0.9605733169547962,29,-26.98998260498047,-1.959999442100525,-13.829992771148682,-41.39996337890625
3,3,0.5,0.5,10,60,5.0,4.0,3.0,4.0,80.94998168945312,-41.5999755859375,-71.93000030517578,-41.39996337890625,0.36,0.9979526685287714,25,9.019981384277344,44.299999475479126,-45.079991817474365,-41.5999755859375
3,3,1.0,0.5,10,60,4.0,4.0,4.0,4.0,-5.290000915527344,-41.5999755859375,-98.12999725341797,-67.5999755859375,0.3076923076923077,0.7592921134960042,26,-103.41999816894531,-12.579999588429928,-93.2400016784668,-67.5999755859375
3,2,1.0,0.5,10,60,4.0,5.0,4.0,4.0,-96.50000762939453,-41.5999755859375,-98.12999725341797,-67.5999755859375,0.23076923076923078,0.5980046097214051,26,-194.6300048828125,-42.88999976962805,-154.14000129699707,-67.5999755859375
3,2,0.5,0.5,10,60,5.0,4.0,3.0,3.0,53.30997848510742,-27.5,-96.12000274658203,-55.5999755859375,0.27586206896551724,0.8718423604558384,29,-42.81002426147461,-13.899999737739563,-38.7099928855896,-55.5999755859375
3,2,0.5,0.5,10,60,5.0,5.0,3.0,3.0,-83.52999877929688,-27.5,-108.2199935913086,-41.39996337890625,0.17857142857142858,0.5458028366944886,28,-191.74999237060547,-39.87000000476837,-161.67999029159546,-41.39996337890625
